file,subject,session,trial,detected,latency_s,is_clean,artifact_max_uV
sess01_subj01_EEG_MI.mat,1,1,1,True,0.5,False,924.7000122070312
sess01_subj01_EEG_MI.mat,1,1,2,False,nan,False,948.4000244140625
sess01_subj01_EEG_MI.mat,1,1,3,True,0.6000000000000001,True,488.6000061035156
sess01_subj01_EEG_MI.mat,1,1,4,True,0.3500000000000001,True,431.20001220703125
sess01_subj01_EEG_MI.mat,1,1,5,True,0.6000000000000001,True,392.3999938964844
sess01_subj01_EEG_MI.mat,1,1,6,True,0.6000000000000001,False,1583.0999755859375
sess01_subj01_EEG_MI.mat,1,1,7,True,0.3500000000000001,False,809.7999877929688
sess01_subj01_EEG_MI.mat,1,1,8,False,nan,True,649.5
sess01_subj01_EEG_MI.mat,1,1,9,False,nan,False,1182.199951171875
sess01_subj01_EEG_MI.mat,1,1,10,True,0.6000000000000001,True,436.5
sess01_subj01_EEG_MI.mat,1,1,11,False,nan,True,343.79998779296875
sess01_subj01_EEG_MI.mat,1,1,12,False,nan,True,383.0
sess01_subj01_EEG_MI.mat,1,1,13,True,0.5499999999999998,False,2055.800048828125
sess01_subj01_EEG_MI.mat,1,1,14,True,0.6000000000000001,True,550.0
sess01_subj01_EEG_MI.mat,1,1,15,True,0.3500000000000001,True,439.1000061035156
sess01_subj01_EEG_MI.mat,1,1,16,True,0.6000000000000001,True,600.2999877929688
sess01_subj01_EEG_MI.mat,1,1,17,True,0.6000000000000001,True,379.6000061035156
sess01_subj01_EEG_MI.mat,1,1,18,False,nan,False,1647.5
sess01_subj01_EEG_MI.mat,1,1,19,True,0.6000000000000001,True,673.4000244140625
sess01_subj01_EEG_MI.mat,1,1,20,True,0.6000000000000001,True,388.79998779296875
sess01_subj01_EEG_MI.mat,1,1,21,False,nan,True,748.0999755859375
sess01_subj01_EEG_MI.mat,1,1,22,False,nan,False,1091.4000244140625
sess01_subj01_EEG_MI.mat,1,1,23,False,nan,True,527.9000244140625
sess01_subj01_EEG_MI.mat,1,1,24,False,nan,False,1237.0999755859375
sess01_subj01_EEG_MI.mat,1,1,25,True,0.4500000000000002,True,382.1000061035156
sess01_subj01_EEG_MI.mat,1,1,26,False,nan,True,424.6000061035156
sess01_subj01_EEG_MI.mat,1,1,27,False,nan,False,1271.199951171875
sess01_subj01_EEG_MI.mat,1,1,28,True,0.6000000000000001,True,334.0
sess01_subj01_EEG_MI.mat,1,1,29,True,0.3500000000000001,True,369.6000061035156
sess01_subj01_EEG_MI.mat,1,1,30,True,0.3500000000000001,True,421.1000061035156
sess01_subj01_EEG_MI.mat,1,1,31,True,0.3500000000000001,True,656.9000244140625
sess01_subj01_EEG_MI.mat,1,1,32,False,nan,True,381.70001220703125
sess01_subj01_EEG_MI.mat,1,1,33,True,0.6000000000000001,False,794.5999755859375
sess01_subj01_EEG_MI.mat,1,1,34,True,0.6000000000000001,True,476.79998779296875
sess01_subj01_EEG_MI.mat,1,1,35,True,0.3500000000000001,False,754.5999755859375
sess01_subj01_EEG_MI.mat,1,1,36,False,nan,False,1317.5
sess01_subj01_EEG_MI.mat,1,1,37,True,0.6000000000000001,True,316.5
sess01_subj01_EEG_MI.mat,1,1,38,False,nan,True,268.3999938964844
sess01_subj01_EEG_MI.mat,1,1,39,False,nan,True,522.2000122070312
sess01_subj01_EEG_MI.mat,1,1,40,True,0.6000000000000001,True,368.8999938964844
sess01_subj01_EEG_MI.mat,1,1,41,False,nan,False,1139.800048828125
sess01_subj01_EEG_MI.mat,1,1,42,True,0.4500000000000002,True,357.79998779296875
sess01_subj01_EEG_MI.mat,1,1,43,True,0.6000000000000001,True,433.29998779296875
sess01_subj01_EEG_MI.mat,1,1,44,True,0.3500000000000001,False,1083.4000244140625
sess01_subj01_EEG_MI.mat,1,1,45,False,nan,True,440.1000061035156
sess01_subj01_EEG_MI.mat,1,1,46,True,0.3999999999999999,True,584.2000122070312
sess01_subj01_EEG_MI.mat,1,1,47,False,nan,True,310.20001220703125
sess01_subj01_EEG_MI.mat,1,1,48,True,0.5,True,291.70001220703125
sess01_subj01_EEG_MI.mat,1,1,49,True,0.3500000000000001,True,534.7000122070312
sess01_subj01_EEG_MI.mat,1,1,50,True,0.6000000000000001,False,1139.300048828125
sess01_subj01_EEG_MI.mat,1,1,51,False,nan,True,467.29998779296875
sess01_subj01_EEG_MI.mat,1,1,52,True,0.6000000000000001,True,354.70001220703125
sess01_subj01_EEG_MI.mat,1,1,53,True,0.3500000000000001,True,382.3999938964844
sess01_subj01_EEG_MI.mat,1,1,54,True,0.6000000000000001,True,447.29998779296875
sess01_subj01_EEG_MI.mat,1,1,55,False,nan,True,365.0
sess01_subj01_EEG_MI.mat,1,1,56,False,nan,True,379.79998779296875
sess01_subj01_EEG_MI.mat,1,1,57,True,0.6000000000000001,True,383.0
sess01_subj01_EEG_MI.mat,1,1,58,False,nan,True,386.5
sess01_subj01_EEG_MI.mat,1,1,59,False,nan,True,603.9000244140625
sess01_subj01_EEG_MI.mat,1,1,60,True,0.3500000000000001,True,305.8999938964844
sess01_subj01_EEG_MI.mat,1,1,61,True,0.6000000000000001,False,1932.300048828125
sess01_subj01_EEG_MI.mat,1,1,62,False,nan,False,899.0999755859375
sess01_subj01_EEG_MI.mat,1,1,63,True,0.3999999999999999,True,618.9000244140625
sess01_subj01_EEG_MI.mat,1,1,64,True,0.6000000000000001,True,419.6000061035156
sess01_subj01_EEG_MI.mat,1,1,65,True,0.6000000000000001,True,458.20001220703125
sess01_subj01_EEG_MI.mat,1,1,66,False,nan,True,404.20001220703125
